Geneid,Entity,Symbol,0_R1,0_R2,0_R3,6_R1,6_R2,6_R3,12_R1,12_R2,12_R3,18_R1,18_R2,18_R3
gene-PA2412,host,gene-PA2412,27.0,18.0,14.0,6.0,21.0,14.0,3.0,7.0,18.0,5.0,13.0,48.0
gene-PA1660,host,gene-PA1660,1319.0,660.0,407.0,1407.0,749.0,575.0,1321.0,790.0,219.0,593.0,593.0,261.0
gene-PA0745,host,gene-PA0745,376.0,1723.0,682.0,432.0,1521.0,325.0,140.0,485.0,160.0,146.0,249.0,183.0
gene-PA1428a,host,gene-PA1428a,208.0,343.0,274.0,151.0,489.0,316.0,150.0,254.0,195.0,150.0,259.0,239.0
gene-PA4670,host,prs,,,,,,,,,,,,
gene-PA1808,host,gene-PA1808,309.0,425.0,624.0,275.0,591.0,548.0,200.0,351.0,304.0,189.0,359.0,395.0
gene-PA0384,host,gene-PA0384,115.0,135.0,131.0,101.0,187.0,122.0,83.0,149.0,107.0,83.0,133.0,104.0
gene-PA3753,host,gene-PA3753,798.0,2154.0,1434.0,600.0,1067.0,692.0,323.0,691.0,1155.0,389.0,641.0,642.0
gene-PA1537,host,gene-PA1537,44.0,149.0,83.0,47.0,87.0,37.0,27.0,35.0,36.0,26.0,45.0,45.0
gene-PA2800,host,gene-PA2800,1231.0,1749.0,1451.0,1819.0,,,,,1960.0,,,
gene-PA5454,host,rmd,459.0,1177.0,1403.0,315.0,591.0,430.0,324.0,555.0,1368.0,402.0,856.0,832.0
gene-PA5405,host,gene-PA5405,49.0,306.0,149.0,156.0,226.0,59.0,31.0,111.0,33.0,40.0,48.0,87.0
gene-PA4302,host,tadA,45.0,181.0,77.0,66.0,181.0,78.0,36.0,61.0,46.0,32.0,60.0,46.0
gene-PA4947,host,amiB,,,,,,,,,,,,
gene-PA2308,host,gene-PA2308,25.0,18.0,21.0,12.0,18.0,3.0,6.0,19.0,10.0,20.0,15.0,9.0
gene-PA3464,host,gene-PA3464,131.0,196.0,174.0,78.0,152.0,78.0,82.0,101.0,121.0,97.0,126.0,116.0
gene-PA0218,host,gene-PA0218,150.0,429.0,280.0,83.0,172.0,100.0,52.0,83.0,139.0,52.0,120.0,121.0
gene-PA0894,host,gene-PA0894,147.0,305.0,216.0,121.0,193.0,211.0,124.0,198.0,193.0,127.0,203.0,129.0
gene-PA2679,host,gene-PA2679,202.0,890.0,299.0,105.0,540.0,321.0,60.0,171.0,341.0,88.0,170.0,85.0
gene-PA1213,host,gene-PA1213,30.0,58.0,22.0,21.0,50.0,24.0,14.0,24.0,24.0,11.0,25.0,18.0
gene-PA5485,host,ampDh2,381.0,813.0,570.0,443.0,922.0,456.0,296.0,471.0,354.0,290.0,436.0,517.0
gene-PA3537,host,argF,567.0,928.0,857.0,1387.0,,1618.0,773.0,,1959.0,776.0,1001.0,1329.0
gene-PA0219,host,gene-PA0219,49.0,80.0,59.0,23.0,58.0,44.0,19.0,21.0,46.0,19.0,33.0,36.0
gene-PA3461,host,gene-PA3461,151.0,425.0,417.0,142.0,444.0,260.0,90.0,223.0,67.0,102.0,114.0,122.0
gene-PA0486,host,gene-PA0486,356.0,759.0,525.0,307.0,731.0,393.0,174.0,375.0,421.0,220.0,385.0,292.0
gene-PA4558,host,gene-PA4558,1028.0,854.0,1380.0,904.0,1505.0,1676.0,1174.0,1825.0,1633.0,1323.0,1743.0,1563.0
gene-PA1697,host,gene-PA1697,77.0,67.0,141.0,49.0,107.0,503.0,48.0,71.0,242.0,78.0,113.0,296.0
gene-PA3310,host,gene-PA3310,1308.0,,,1477.0,2473.0,1768.0,935.0,969.0,734.0,640.0,689.0,838.0
gene-PA4708,host,phuT,197.0,396.0,305.0,114.0,265.0,92.0,213.0,138.0,208.0,101.0,262.0,376.0
gene-PA3712,host,gene-PA3712,573.0,2789.0,1207.0,293.0,1159.0,296.0,180.0,536.0,580.0,346.0,648.0,529.0
gene-PA5519,host,gene-PA5519,344.0,925.0,589.0,264.0,686.0,339.0,190.0,681.0,1810.0,328.0,389.0,364.0
gene-PA0386,host,gene-PA0386,199.0,318.0,285.0,561.0,869.0,618.0,309.0,721.0,368.0,257.0,323.0,369.0
gene-PA5306,host,gene-PA5306,797.0,1355.0,1445.0,690.0,1505.0,564.0,347.0,635.0,398.0,251.0,475.0,416.0
gene-PA3260,host,gene-PA3260,384.0,1025.0,650.0,349.0,859.0,476.0,315.0,479.0,431.0,306.0,523.0,473.0
gene-PA1254,host,gene-PA1254,23.0,42.0,17.0,20.0,33.0,13.0,13.0,16.0,17.0,14.0,21.0,24.0
gene-PA5328,host,gene-PA5328,38.0,42.0,17.0,37.0,55.0,45.0,30.0,35.0,16.0,23.0,27.0,27.0
gene-PA4203,host,gene-PA4203,138.0,479.0,225.0,106.0,350.0,101.0,80.0,216.0,132.0,67.0,189.0,96.0
gene-PA2208,host,gene-PA2208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gene-PA2813,host,gene-PA2813,213.0,552.0,314.0,174.0,554.0,325.0,154.0,342.0,389.0,175.0,311.0,295.0
gene-PA0370,host,gene-PA0370,498.0,526.0,664.0,363.0,938.0,711.0,366.0,718.0,533.0,337.0,554.0,612.0
gene-PA0302,host,spuF,927.0,1234.0,1043.0,793.0,2108.0,1369.0,636.0,1030.0,870.0,572.0,948.0,1186.0
gene-PA4652,host,gene-PA4652,103.0,224.0,127.0,105.0,116.0,66.0,66.0,80.0,106.0,74.0,112.0,112.0
gene-PA2052,host,cynS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gene-PA3559,host,gene-PA3559,233.0,329.0,710.0,167.0,285.0,382.0,164.0,190.0,326.0,198.0,258.0,641.0
gene-PA4155,host,gene-PA4155,52.0,74.0,63.0,36.0,44.0,25.0,19.0,28.0,45.0,19.0,36.0,37.0
gene-PA0208,host,mdcA,130.0,496.0,160.0,130.0,325.0,170.0,53.0,87.0,139.0,44.0,90.0,61.0
gene-PA1833a,host,gene-PA1833a,600.0,1549.0,1143.0,784.0,1245.0,478.0,209.0,574.0,267.0,258.0,355.0,270.0
gene-PA1514,host,gene-PA1514,129.0,499.0,328.0,143.0,275.0,100.0,44.0,194.0,138.0,55.0,93.0,94.0
gene-PA0205,host,gene-PA0205,158.0,258.0,115.0,88.0,122.0,39.0,65.0,67.0,49.0,73.0,64.0,52.0
gene-PA2659,host,gene-PA2659,1326.0,1052.0,793.0,919.0,1491.0,786.0,662.0,845.0,587.0,724.0,884.0,769.0
gene-PA4011,host,gene-PA4011,681.0,735.0,718.0,642.0,1346.0,1065.0,550.0,820.0,789.0,656.0,771.0,1035.0
gene-PA5024,host,gene-PA5024,93.0,258.0,145.0,73.0,155.0,105.0,56.0,170.0,61.0,110.0,221.0,133.0
gene-PA2187,host,gene-PA2187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gene-PA3303,host,gene-PA3303,273.0,401.0,367.0,352.0,488.0,229.0,151.0,351.0,210.0,137.0,178.0,153.0
gene-PA5551,host,gene-PA5551,636.0,1044.0,988.0,435.0,475.0,365.0,408.0,369.0,583.0,483.0,687.0,580.0
gene-PA2732,host,gene-PA2732,,,,,,,,,,,,
gene-PA2361,host,gene-PA2361,127.0,285.0,125.0,100.0,214.0,123.0,36.0,98.0,68.0,77.0,94.0,71.0
gene-PA2500,host,gene-PA2500,,,,692.0,692.0,195.0,317.0,267.0,522.0,359.0,436.0,272.0
gene-PA3863,host,dauA,211.0,1214.0,339.0,238.0,568.0,291.0,169.0,353.0,261.0,177.0,287.0,245.0
gene-PA4490,host,gene-PA4490,586.0,554.0,622.0,602.0,549.0,926.0,727.0,508.0,923.0,507.0,618.0,1061.0
gene-PA0387,host,gene-PA0387,1518.0,,2764.0,1408.0,3539.0,1899.0,870.0,1889.0,1247.0,928.0,1538.0,1250.0
gene-PA4049,host,gene-PA4049,290.0,581.0,506.0,412.0,966.0,1067.0,495.0,1043.0,788.0,465.0,811.0,727.0
gene-PA0483,host,gene-PA0483,137.0,401.0,189.0,70.0,209.0,135.0,48.0,83.0,129.0,74.0,125.0,80.0
gene-PA2457,host,gene-PA2457,248.0,411.0,254.0,338.0,350.0,219.0,158.0,251.0,132.0,113.0,166.0,151.0
gene-PA5084,host,gene-PA5084,72.0,359.0,183.0,85.0,787.0,74.0,47.0,324.0,79.0,39.0,144.0,65.0
gene-PA1903,host,phzE2,34.0,64.0,27.0,16.0,37.0,22.0,16.0,24.0,14.0,14.0,16.0,21.0
gene-PA1664,host,gene-PA1664,205.0,86.0,63.0,227.0,97.0,48.0,192.0,69.0,75.0,144.0,90.0,42.0
gene-PA4524.1,host,gene-PA4524.1,,,,,,,,,,,,
gene-PA1419,host,gene-PA1419,145.0,354.0,107.0,97.0,167.0,69.0,86.0,98.0,85.0,116.0,207.0,210.0
gene-PA4378,host,inaA,842.0,1452.0,861.0,772.0,1903.0,1329.0,859.0,844.0,703.0,632.0,743.0,950.0
gene-PA2703,host,gene-PA2703,87.0,52.0,44.0,79.0,124.0,173.0,130.0,158.0,146.0,108.0,156.0,202.0
gene-PA0702,host,gene-PA0702,63.0,123.0,112.0,44.0,128.0,84.0,36.0,66.0,91.0,61.0,66.0,87.0
gene-PA3548,host,algI,76.0,138.0,139.0,51.0,78.0,55.0,37.0,50.0,73.0,43.0,66.0,47.0
gene-PA4439,host,trpS,1358.0,2027.0,1831.0,1148.0,3491.0,2546.0,1074.0,2096.0,,1216.0,1751.0,2311.0
gene-PA1873,host,gene-PA1873,45.0,103.0,48.0,35.0,49.0,13.0,14.0,24.0,16.0,20.0,42.0,17.0
gene-PA2863,host,lipH,23.0,48.0,27.0,33.0,53.0,26.0,8.0,29.0,20.0,18.0,16.0,17.0
gene-PA4704.1,host,prrF1,91.0,280.0,196.0,93.0,174.0,82.0,120.0,230.0,134.0,106.0,218.0,220.0
gene-PA5447,host,wbpZ,,,1945.0,1328.0,2169.0,755.0,972.0,1208.0,624.0,1273.0,1154.0,776.0
gene-PA5487,host,gene-PA5487,,,2381.0,1821.0,3073.0,1981.0,1360.0,,1641.0,1572.0,2057.0,2203.0
gene-PA4836,host,gene-PA4836,40.0,113.0,103.0,53.0,142.0,91.0,49.0,72.0,55.0,24.0,81.0,68.0
gene-PA5047,host,gene-PA5047,885.0,1320.0,1130.0,849.0,2048.0,1536.0,904.0,1435.0,1130.0,886.0,1406.0,1210.0
gene-PA0851,host,gene-PA0851,258.0,667.0,394.0,229.0,817.0,284.0,145.0,600.0,296.0,119.0,295.0,196.0
gene-PA0435,host,gene-PA0435,84.0,127.0,74.0,72.0,87.0,64.0,39.0,49.0,80.0,40.0,57.0,144.0
gene-PA0549,host,gene-PA0549,1101.0,1081.0,1200.0,803.0,1859.0,2029.0,1213.0,1467.0,1540.0,1360.0,1714.0,1600.0
gene-PA2273,host,soxR,198.0,255.0,202.0,53.0,160.0,85.0,32.0,86.0,141.0,70.0,137.0,82.0
gene-PA0960,host,gene-PA0960,172.0,529.0,201.0,164.0,425.0,268.0,106.0,229.0,153.0,169.0,216.0,212.0
gene-PA1856,host,gene-PA1856,249.0,573.0,364.0,138.0,179.0,125.0,108.0,129.0,154.0,135.0,145.0,178.0
gene-PA4056,host,ribD,1601.0,2255.0,1606.0,941.0,2247.0,1583.0,880.0,1432.0,1531.0,998.0,1702.0,1455.0
gene-PA5458,host,gene-PA5458,207.0,469.0,313.0,187.0,459.0,401.0,158.0,267.0,275.0,153.0,256.0,422.0
gene-PA3380,host,gene-PA3380,7.0,24.0,9.0,13.0,11.0,6.0,2.0,14.0,6.0,4.0,6.0,11.0
gene-PA4937.2,host,gene-PA4937.2,710.0,898.0,975.0,782.0,1461.0,886.0,675.0,1505.0,344.0,987.0,988.0,754.0
gene-PA1088,host,gene-PA1088,748.0,2037.0,2151.0,743.0,1569.0,1517.0,601.0,1043.0,714.0,557.0,664.0,819.0
gene-PA2784,host,gene-PA2784,37.0,74.0,41.0,47.0,49.0,32.0,37.0,33.0,34.0,37.0,40.0,36.0
gene-PA4148,host,gene-PA4148,66.0,106.0,45.0,52.0,91.0,25.0,27.0,48.0,36.0,38.0,59.0,40.0
gene-PA0675,host,vreI,18.0,38.0,20.0,9.0,10.0,12.0,21.0,5.0,16.0,23.0,14.0,20.0
gene-PA5157,host,gene-PA5157,93.0,108.0,93.0,61.0,136.0,81.0,104.0,152.0,227.0,140.0,181.0,153.0
gene-PA1727,host,mucR,960.0,1026.0,671.0,1298.0,1931.0,1044.0,843.0,1326.0,750.0,870.0,993.0,875.0
gene-PA5293,host,gene-PA5293,101.0,250.0,121.0,56.0,131.0,79.0,33.0,97.0,91.0,47.0,97.0,74.0
gene-PA4712,host,gene-PA4712,254.0,328.0,222.0,156.0,337.0,124.0,99.0,134.0,135.0,126.0,145.0,153.0
gene-PA5344,host,oxyR,1491.0,2583.0,1907.0,1098.0,2907.0,1656.0,842.0,1763.0,1715.0,963.0,1591.0,1679.0
gene-PA4700,host,mrcB,1770.0,1789.0,2338.0,,,,,,2165.0,1628.0,2243.0,
gene-PA1472,host,gene-PA1472,137.0,279.0,204.0,133.0,293.0,116.0,71.0,175.0,78.0,100.0,125.0,127.0
gene-PA3482,host,metG,,2828.0,2602.0,,,,,,,,,
gene-PA4887,host,gene-PA4887,252.0,256.0,408.0,238.0,514.0,491.0,265.0,361.0,290.0,359.0,363.0,361.0
gene-PA2378,host,gene-PA2378,656.0,1334.0,1140.0,585.0,1245.0,1300.0,531.0,897.0,1214.0,715.0,1588.0,
gene-PA2755,host,eco,1415.0,1314.0,1383.0,1434.0,3884.0,2015.0,1068.0,2356.0,1599.0,1095.0,1694.0,2436.0
gene-PA1271,host,gene-PA1271,927.0,788.0,554.0,785.0,2725.0,1662.0,1146.0,2179.0,1000.0,1084.0,1656.0,1754.0
gene-PA1578,host,gene-PA1578,194.0,440.0,212.0,163.0,231.0,117.0,65.0,162.0,122.0,116.0,134.0,126.0
gene-PA0368,host,gene-PA0368,324.0,532.0,533.0,303.0,545.0,440.0,174.0,481.0,394.0,225.0,322.0,1644.0
gene-PA4197,host,bfiS,514.0,2111.0,1238.0,525.0,1594.0,421.0,235.0,807.0,382.0,242.0,576.0,275.0
gene-PA0026,host,plcB,475.0,1199.0,727.0,196.0,587.0,195.0,185.0,483.0,571.0,276.0,539.0,394.0
gene-PA3716,host,gene-PA3716,1656.0,1369.0,1414.0,1383.0,3668.0,,,,,,,
gene-PA3208,host,gene-PA3208,476.0,748.0,684.0,394.0,1000.0,566.0,337.0,567.0,563.0,330.0,538.0,503.0
gene-PA2508,host,catC,11.0,30.0,23.0,8.0,28.0,16.0,6.0,11.0,12.0,8.0,17.0,6.0
gene-PA5422,host,gene-PA5422,938.0,2783.0,1641.0,731.0,1478.0,687.0,437.0,662.0,600.0,492.0,611.0,636.0
gene-PA2619,host,infA,1411.0,1941.0,1984.0,,,,,,,,,
gene-PA2578,host,gene-PA2578,164.0,614.0,438.0,123.0,182.0,109.0,66.0,107.0,179.0,86.0,183.0,113.0
gene-PA3371,host,gene-PA3371,56.0,155.0,71.0,60.0,102.0,41.0,37.0,51.0,36.0,44.0,56.0,35.0
gene-PA1636,host,kdpD,311.0,388.0,287.0,237.0,457.0,364.0,153.0,254.0,185.0,191.0,268.0,235.0
gene-PA5022,host,gene-PA5022,828.0,1191.0,1115.0,857.0,1626.0,1126.0,771.0,1371.0,1162.0,754.0,1212.0,1249.0
gene-PA0595,host,ostA,,,,,,,,,,,,
gene-PA4942,host,hflK,,,,,,,,,,,,
gene-PA2322,host,gene-PA2322,119.0,264.0,129.0,85.0,102.0,58.0,149.0,114.0,66.0,173.0,316.0,443.0
gene-PA4987,host,gene-PA4987,252.0,290.0,276.0,209.0,442.0,373.0,141.0,310.0,231.0,208.0,307.0,267.0
gene-PA1896,host,gene-PA1896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gene-PA2422,host,gene-PA2422,27.0,60.0,47.0,26.0,43.0,31.0,8.0,17.0,22.0,19.0,19.0,18.0
gene-PA1643,host,gene-PA1643,1519.0,1623.0,1190.0,1111.0,1556.0,924.0,684.0,1052.0,825.0,705.0,895.0,785.0
gene-PA5068,host,tatA,1840.0,2446.0,1830.0,1421.0,3119.0,2035.0,1118.0,2096.0,1464.0,1126.0,1881.0,1434.0
gene-PA1749,host,gene-PA1749,665.0,2108.0,1432.0,1270.0,2699.0,843.0,431.0,822.0,596.0,490.0,698.0,482.0
gene-PA1551,host,gene-PA1551,,,,,,,,,,,,
gene-PA5316.1,host,gene-PA5316.1,,2972.0,,,,,,,,,,
gene-PA5548,host,gene-PA5548,341.0,428.0,474.0,332.0,659.0,449.0,328.0,459.0,570.0,432.0,440.0,676.0
gene-PA4745,host,nusA,,,,,,,,,,,,
gene-PA2861,host,ligT,62.0,188.0,106.0,57.0,78.0,39.0,33.0,61.0,34.0,29.0,60.0,57.0
gene-PA2068,host,gene-PA2068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gene-PA0761,host,nadB,1740.0,,2579.0,1311.0,3110.0,2005.0,1168.0,1711.0,1658.0,1435.0,1903.0,1757.0
gene-PA5115,host,gene-PA5115,177.0,644.0,415.0,81.0,80.0,86.0,37.0,73.0,81.0,53.0,55.0,49.0
gene-PA1986,host,pqqB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gene-PA2872,host,gene-PA2872,126.0,174.0,149.0,82.0,208.0,151.0,89.0,181.0,165.0,106.0,238.0,205.0
gene-PA5267,host,hcpB,808.0,239.0,113.0,603.0,316.0,119.0,807.0,212.0,112.0,1000.0,294.0,95.0
gene-PA4746.1,host,gene-PA4746.1,949.0,1662.0,1734.0,1726.0,2198.0,1898.0,857.0,,954.0,1044.0,1151.0,1262.0
gene-PA2527,host,gene-PA2527,535.0,845.0,702.0,437.0,1276.0,750.0,518.0,980.0,714.0,529.0,1071.0,892.0
gene-PA0373,host,ftsY,,,,,,,,,,,,
gene-PA3102,host,xcpS,323.0,678.0,448.0,294.0,618.0,333.0,207.0,482.0,367.0,220.0,411.0,513.0
gene-PA4764,host,fur,1533.0,2489.0,2566.0,1446.0,3912.0,2621.0,1071.0,2324.0,,1539.0,2146.0,2372.0
gene-PA4899,host,gene-PA4899,116.0,369.0,241.0,73.0,272.0,107.0,39.0,154.0,74.0,53.0,120.0,140.0
gene-PA4780,host,gene-PA4780,297.0,565.0,405.0,457.0,1160.0,808.0,356.0,892.0,609.0,339.0,582.0,569.0
gene-PA4959,host,fimX,1848.0,2558.0,1983.0,,,,,,,1706.0,,
gene-PA0825,host,gene-PA0825,56.0,77.0,68.0,33.0,50.0,31.0,28.0,18.0,30.0,27.0,25.0,32.0
gene-PA0275,host,gene-PA0275,154.0,389.0,270.0,56.0,165.0,127.0,60.0,84.0,177.0,66.0,128.0,99.0
gene-PA4905,host,vanB,95.0,161.0,99.0,108.0,215.0,139.0,58.0,135.0,93.0,57.0,108.0,75.0
gene-PA4730,host,panC,812.0,765.0,601.0,549.0,1913.0,1360.0,759.0,1259.0,1000.0,683.0,1162.0,1401.0
gene-PA0371,host,gene-PA0371,1134.0,1004.0,1019.0,728.0,2306.0,1269.0,771.0,1282.0,986.0,714.0,1170.0,1376.0
gene-PA3212,host,gene-PA3212,540.0,981.0,640.0,253.0,655.0,477.0,206.0,439.0,625.0,244.0,488.0,514.0
gene-PA1394,host,gene-PA1394,59.0,51.0,43.0,34.0,57.0,70.0,43.0,41.0,55.0,43.0,43.0,69.0
gene-PA2247,host,bkdA1,1239.0,,,1480.0,1699.0,192.0,339.0,466.0,585.0,444.0,365.0,141.0
gene-PA3703,host,wspF,514.0,674.0,772.0,514.0,854.0,1003.0,436.0,876.0,550.0,426.0,624.0,629.0
gene-PA1465,host,gene-PA1465,973.0,1747.0,1859.0,888.0,1515.0,990.0,588.0,1073.0,637.0,510.0,935.0,519.0
gene-PA0950,host,gene-PA0950,673.0,938.0,913.0,622.0,1937.0,1412.0,678.0,1022.0,819.0,756.0,950.0,1076.0
gene-PA5258,host,gene-PA5258,,,2646.0,,3423.0,1761.0,1026.0,2102.0,1291.0,1085.0,1620.0,1314.0
gene-PA2166,host,gene-PA2166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gene-PA4055,host,ribC,510.0,975.0,778.0,846.0,,2698.0,1550.0,,1622.0,795.0,,
gene-PA4646,host,upp,514.0,651.0,594.0,537.0,1593.0,1462.0,870.0,1011.0,944.0,783.0,977.0,1340.0
gene-PA3554,host,arnA,289.0,409.0,750.0,212.0,452.0,652.0,271.0,280.0,568.0,397.0,462.0,1205.0
gene-PA3332,host,gene-PA3332,367.0,193.0,23.0,282.0,229.0,20.0,226.0,101.0,26.0,126.0,98.0,18.0
gene-PA1494,host,gene-PA1494,440.0,848.0,331.0,309.0,1774.0,687.0,266.0,810.0,340.0,298.0,633.0,416.0
gene-PA2051,host,gene-PA2051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gene-PA5506,host,gene-PA5506,802.0,1555.0,1389.0,282.0,805.0,639.0,321.0,446.0,1137.0,454.0,714.0,821.0
gene-PA0695,host,gene-PA0695,13.0,26.0,7.0,15.0,16.0,10.0,4.0,13.0,4.0,10.0,10.0,5.0
gene-PA1471,host,gene-PA1471,322.0,389.0,468.0,282.0,661.0,274.0,197.0,309.0,178.0,192.0,245.0,339.0
gene-PA2203,host,gene-PA2203,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gene-PA0943,host,gene-PA0943,1953.0,,2775.0,1563.0,,,,2346.0,,,,
gene-PA1074,host,braC,,,,784.0,1305.0,2412.0,898.0,893.0,,1310.0,1985.0,
gene-PA0059,host,osmC,160.0,432.0,463.0,113.0,314.0,86.0,50.0,114.0,74.0,54.0,67.0,116.0
gene-PA1955,host,gene-PA1955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gene-PA0898,host,aruD,1098.0,979.0,1413.0,931.0,1276.0,1162.0,635.0,575.0,1289.0,760.0,919.0,1488.0
gene-PA2629,host,purB,1504.0,1629.0,1388.0,,,,,,1301.0,,,
gene-PA3281,host,gene-PA3281,81.0,171.0,118.0,31.0,82.0,147.0,22.0,41.0,125.0,27.0,60.0,131.0
gene-PA2343,host,mtlY,32.0,47.0,25.0,20.0,32.0,24.0,9.0,19.0,12.0,11.0,20.0,18.0
gene-PA1086,host,flgK,1754.0,3050.0,,1659.0,3514.0,,1072.0,1851.0,1326.0,1268.0,1412.0,1505.0
gene-PA3552,host,arnB,137.0,258.0,288.0,120.0,259.0,337.0,158.0,134.0,367.0,197.0,256.0,812.0
gene-PA4507,host,gene-PA4507,297.0,1870.0,569.0,411.0,1745.0,436.0,226.0,951.0,447.0,191.0,609.0,595.0
gene-PA3620,host,mutS,1831.0,2272.0,2485.0,1779.0,4029.0,,,2515.0,,,,
gene-PA0577,host,dnaG,,,,,,,,,2256.0,,,
gene-PA1655,host,gene-PA1655,686.0,1300.0,1027.0,465.0,901.0,358.0,201.0,433.0,416.0,236.0,321.0,312.0
gene-PA0797,host,gene-PA0797,223.0,327.0,105.0,351.0,1502.0,232.0,183.0,375.0,184.0,169.0,150.0,166.0
gene-PA2204,host,gene-PA2204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gene-PA3267,host,gene-PA3267,622.0,1107.0,952.0,539.0,1117.0,891.0,652.0,928.0,1165.0,572.0,1042.0,1209.0
gene-PA4928,host,gene-PA4928,792.0,914.0,833.0,1480.0,3823.0,2604.0,,2279.0,1168.0,,2387.0,2336.0
gene-PA0102,host,gene-PA0102,443.0,1353.0,1247.0,320.0,987.0,648.0,257.0,525.0,603.0,476.0,582.0,690.0
gene-PA0323,host,gene-PA0323,55.0,132.0,73.0,40.0,82.0,29.0,34.0,31.0,40.0,27.0,40.0,29.0
gene-PA4872,host,gene-PA4872,428.0,608.0,617.0,215.0,730.0,502.0,189.0,366.0,539.0,252.0,368.0,434.0
gene-PA2414,host,gene-PA2414,124.0,187.0,121.0,73.0,152.0,38.0,31.0,59.0,31.0,40.0,47.0,36.0
gene-PA3525,host,argG,,,,,,,,,,,,
gene-PA5165,host,gene-PA5165,765.0,1461.0,1249.0,756.0,1365.0,1118.0,475.0,1022.0,792.0,516.0,714.0,745.0
gene-PA0705,host,migA,922.0,1660.0,1799.0,990.0,2169.0,1547.0,764.0,1278.0,1381.0,799.0,947.0,1374.0
gene-PA1349,host,gene-PA1349,21.0,59.0,24.0,27.0,64.0,29.0,17.0,7.0,12.0,17.0,19.0,12.0
gene-PA4001,host,sltB1,1530.0,1926.0,2203.0,1571.0,3040.0,2569.0,,2210.0,2261.0,1624.0,2125.0,
gene-PA3042,host,gene-PA3042,640.0,1990.0,1165.0,602.0,1185.0,558.0,246.0,501.0,283.0,233.0,383.0,378.0
gene-PA3256,host,gene-PA3256,734.0,1927.0,1178.0,540.0,1269.0,680.0,270.0,723.0,870.0,387.0,625.0,611.0
gene-PA1348,host,gene-PA1348,123.0,406.0,138.0,63.0,113.0,62.0,33.0,56.0,54.0,66.0,51.0,40.0
gene-PA3249,host,gene-PA3249,79.0,144.0,112.0,109.0,140.0,87.0,65.0,118.0,76.0,65.0,71.0,67.0
gene-PA2205,host,gene-PA2205,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gene-PA0866,host,aroP2,121.0,651.0,261.0,92.0,198.0,129.0,75.0,109.0,135.0,87.0,93.0,76.0
gene-PA1809,host,gene-PA1809,411.0,520.0,746.0,293.0,665.0,522.0,262.0,377.0,368.0,205.0,403.0,390.0
gene-PA5160.1,host,gene-PA5160.1,30.0,49.0,56.0,26.0,45.0,69.0,17.0,72.0,45.0,39.0,46.0,63.0
gene-PA3645,host,fabZ,1490.0,1843.0,2167.0,,3853.0,,,,,,,
gene-PA0956,host,proS,,,,,,,,,,,,
gene-PA5416,host,soxB,68.0,223.0,107.0,42.0,83.0,35.0,22.0,44.0,35.0,34.0,61.0,49.0
gene-PA4996,host,rfaE,,,,,,,,,,,,
gene-PA2841,host,gene-PA2841,310.0,560.0,271.0,151.0,443.0,218.0,175.0,293.0,240.0,215.0,343.0,284.0
gene-PA3189,host,gene-PA3189,64.0,146.0,98.0,53.0,64.0,45.0,37.0,36.0,81.0,42.0,37.0,42.0
gene-PA0065,host,gene-PA0065,489.0,735.0,505.0,240.0,686.0,498.0,284.0,380.0,438.0,317.0,522.0,594.0
gene-PA4919,host,pncB1,,,,,2500.0,1209.0,1253.0,1551.0,,1597.0,2008.0,1475.0
gene-PA1241,host,gene-PA1241,152.0,347.0,256.0,259.0,688.0,268.0,110.0,284.0,191.0,163.0,189.0,185.0
gene-PA1415,host,gene-PA1415,1269.0,,2337.0,895.0,954.0,226.0,371.0,389.0,267.0,573.0,527.0,210.0
gene-PA2875,host,gene-PA2875,230.0,321.0,184.0,226.0,788.0,453.0,262.0,613.0,584.0,311.0,484.0,637.0
gene-PA5472,host,gene-PA5472,455.0,713.0,462.0,324.0,1463.0,831.0,494.0,926.0,732.0,697.0,774.0,1308.0
gene-PA1445,host,fliO,547.0,1208.0,712.0,602.0,940.0,675.0,392.0,551.0,560.0,389.0,576.0,513.0
gene-PA1390,host,gene-PA1390,78.0,145.0,102.0,74.0,164.0,85.0,71.0,127.0,81.0,55.0,85.0,55.0
gene-PA4068,host,gene-PA4068,,2771.0,1863.0,1740.0,2536.0,1535.0,937.0,1678.0,1681.0,936.0,1297.0,1384.0
