Geneid,Entity,Symbol,5_R1,5_R2,15_R1,15_R2,35_R1,35_R2
gene-PA3459,host,gene-PA3459,21.0,16.0,10.0,19.0,2.0,9.0
gene-PA1774,host,crfX,10.0,11.0,7.0,4.0,3.0,1.0
gene-PA1537,host,gene-PA1537,5.0,1.0,1.0,3.0,1.0,3.0
gene-PA1295,host,gene-PA1295,5.0,4.0,0.0,3.0,0.0,0.0
gene-PA2409,host,gene-PA2409,7.0,3.0,4.0,4.0,2.0,5.0
gene-PA0553,host,gene-PA0553,9.0,2.0,1.0,1.0,0.0,3.0
gene-PA0729,host,gene-PA0729,6.0,4.0,6.0,1.0,3.0,3.0
gene-PA4898,host,opdK,8.0,8.0,2.0,9.0,2.0,9.0
gene-PA4796,host,gene-PA4796,3.0,3.0,1.0,7.0,1.0,4.0
gene-PA3617,host,recA,,,,18.0,,11.0
gene-PA1194,host,gene-PA1194,9.0,10.0,3.0,9.0,3.0,4.0
gene-PA2876,host,pyrF,8.0,10.0,2.0,5.0,0.0,3.0
gene-PA3022,host,gene-PA3022,14.0,9.0,5.0,3.0,2.0,4.0
gene-PA1733,host,gene-PA1733,3.0,4.0,3.0,3.0,0.0,4.0
gene-PHIKZ166,phage,gene-PHIKZ166,,,,,,
gene-PA4988,host,waaA,13.0,17.0,5.0,3.0,3.0,4.0
gene-PHIKZ226,phage,gene-PHIKZ226,27.0,27.0,,,,
gene-PHIKZ089,phage,gene-PHIKZ089,13.0,22.0,,,,
gene-PHIKZ042,phage,gene-PHIKZ042,23.0,13.0,,23.0,,
gene-PA1294,host,rnd,17.0,9.0,8.0,11.0,6.0,8.0
gene-PA1276,host,cobC,17.0,5.0,3.0,4.0,0.0,4.0
gene-PA3107,host,metZ,29.0,20.0,5.0,7.0,6.0,6.0
gene-PA3974,host,ladS,38.0,27.0,12.0,20.0,3.0,11.0
gene-PA3199,host,gene-PA3199,8.0,2.0,1.0,4.0,0.0,3.0
gene-PA3748,host,gene-PA3748,20.0,15.0,6.0,9.0,2.0,9.0
gene-PA4212,host,phzC1,9.0,3.0,2.0,8.0,3.0,5.0
gene-PA4931,host,dnaB,27.0,31.0,10.0,15.0,3.0,3.0
gene-PA3403,host,gene-PA3403,11.0,6.0,1.0,5.0,0.0,2.0
gene-PA0643,host,gene-PA0643,9.0,8.0,0.0,3.0,1.0,9.0
gene-PA5501,host,znuB,16.0,11.0,5.0,6.0,5.0,8.0
gene-PA4558,host,gene-PA4558,13.0,15.0,4.0,3.0,2.0,1.0
gene-PA0452,host,gene-PA0452,7.0,10.0,2.0,4.0,1.0,8.0
gene-PA0733,host,gene-PA0733,8.0,7.0,1.0,4.0,5.0,2.0
gene-PA1496,host,gene-PA1496,8.0,2.0,1.0,3.0,1.0,2.0
gene-PA3556,host,arnT,17.0,16.0,5.0,6.0,2.0,7.0
gene-PA3173,host,gene-PA3173,6.0,5.0,2.0,3.0,0.0,5.0
gene-PA1016,host,gene-PA1016,5.0,6.0,4.0,6.0,1.0,4.0
gene-PA3440a,host,gene-PA3440a,7.0,4.0,2.0,6.0,2.0,4.0
gene-PA4815,host,gene-PA4815,2.0,2.0,1.0,7.0,1.0,5.0
gene-PA1126,host,gene-PA1126,9.0,7.0,7.0,4.0,0.0,2.0
gene-PA0319,host,gene-PA0319,27.0,19.0,3.0,14.0,3.0,7.0
gene-PA1521,host,gene-PA1521,7.0,6.0,3.0,8.0,1.0,4.0
gene-PA5154,host,gene-PA5154,7.0,,2.0,0.0,0.0,5.0
gene-PA1499,host,gene-PA1499,5.0,6.0,2.0,6.0,1.0,6.0
gene-PA2348,host,gene-PA2348,6.0,7.0,3.0,4.0,0.0,3.0
gene-PA5472,host,gene-PA5472,21.0,15.0,7.0,7.0,2.0,9.0
gene-PA2027,host,gene-PA2027,3.0,2.0,1.0,2.0,1.0,1.0
gene-PA2490,host,gene-PA2490,2.0,3.0,1.0,2.0,0.0,2.0
gene-PA2009,host,hmgA,15.0,7.0,3.0,13.0,3.0,8.0
gene-PA4182,host,gene-PA4182,9.0,13.0,2.0,5.0,1.0,3.0
gene-PA2680,host,gene-PA2680,2.0,4.0,1.0,4.0,1.0,6.0
gene-PA1870,host,gene-PA1870,0.0,2.0,0.0,2.0,0.0,0.0
gene-PA1945,host,gene-PA1945,10.0,4.0,0.0,1.0,2.0,3.0
gene-PA3271,host,gene-PA3271,31.0,25.0,5.0,,5.0,16.0
gene-PA4661,host,pagL,21.0,24.0,11.0,10.0,6.0,6.0
gene-PA4014,host,gene-PA4014,5.0,4.0,2.0,1.0,1.0,3.0
gene-PA3089,host,gene-PA3089,6.0,7.0,1.0,9.0,0.0,6.0
gene-PA1588,host,sucC,,,,,,18.0
gene-PA1786,host,gene-PA1786,3.0,3.0,1.0,7.0,0.0,0.0
gene-PA4742,host,truB,38.0,34.0,7.0,9.0,2.0,3.0
gene-PA3217,host,cyaB,15.0,11.0,5.0,8.0,2.0,13.0
gene-PA2675,host,gene-PA2675,1.0,0.0,0.0,5.0,1.0,1.0
gene-PA1751,host,gene-PA1751,2.0,3.0,1.0,1.0,2.0,3.0
gene-PA2705,host,gene-PA2705,9.0,5.0,0.0,4.0,4.0,9.0
gene-PA4869,host,gene-PA4869,13.0,18.0,6.0,16.0,2.0,4.0
gene-PA4598,host,mexD,30.0,18.0,5.0,15.0,4.0,22.0
gene-PA5233,host,gene-PA5233,9.0,13.0,1.0,4.0,0.0,3.0
gene-PA3044,host,gene-PA3044,12.0,12.0,1.0,13.0,2.0,5.0
gene-PA1494,host,gene-PA1494,10.0,12.0,3.0,5.0,2.0,9.0
gene-PA1102,host,fliG,40.0,,8.0,7.0,5.0,
gene-PA2021,host,gene-PA2021,0.0,3.0,0.0,0.0,1.0,2.0
gene-PHIKZ058,phage,gene-PHIKZ058,37.0,24.0,,,6.0,
gene-PA1999,host,dhcA,6.0,11.0,3.0,4.0,0.0,4.0
gene-PA5458,host,gene-PA5458,11.0,19.0,2.0,8.0,1.0,16.0
gene-PA3506,host,gene-PA3506,8.0,7.0,2.0,6.0,2.0,8.0
gene-PA3419,host,gene-PA3419,9.0,5.0,1.0,5.0,1.0,6.0
gene-PA5191,host,gene-PA5191,6.0,6.0,4.0,4.0,1.0,3.0
gene-PA3268,host,gene-PA3268,14.0,12.0,6.0,9.0,2.0,9.0
gene-PA1468,host,gene-PA1468,3.0,0.0,1.0,1.0,2.0,3.0
gene-PA2511,host,gene-PA2511,6.0,6.0,2.0,4.0,2.0,5.0
gene-PA3402,host,gene-PA3402,12.0,6.0,4.0,5.0,1.0,2.0
gene-PA4637a,host,gene-PA4637a,7.0,3.0,2.0,3.0,1.0,0.0
gene-PA3152,host,hisH2,23.0,26.0,7.0,8.0,0.0,5.0
gene-PA4955,host,gene-PA4955,18.0,18.0,8.0,14.0,3.0,22.0
gene-PA0495,host,gene-PA0495,9.0,9.0,3.0,8.0,1.0,9.0
gene-PA0141,host,gene-PA0141,17.0,14.0,7.0,12.0,0.0,11.0
gene-PA3119,host,gene-PA3119,6.0,2.0,0.0,5.0,0.0,2.0
gene-PA0821,host,gene-PA0821,16.0,14.0,5.0,8.0,1.0,7.0
gene-PA3685,host,gene-PA3685,16.0,12.0,8.0,15.0,1.0,4.0
gene-PA0663,host,gene-PA0663,9.0,10.0,1.0,6.0,1.0,4.0
gene-PA4725,host,cbrA,31.0,,9.0,14.0,4.0,17.0
gene-PHIKZ264,phage,gene-PHIKZ264,,,,,,
gene-PA1875,host,gene-PA1875,3.0,5.0,1.0,7.0,1.0,8.0
gene-PA2141,host,gene-PA2141,5.0,1.0,1.0,1.0,0.0,1.0
gene-PA3313,host,gene-PA3313,12.0,15.0,6.0,10.0,0.0,8.0
gene-PA5522,host,gene-PA5522,10.0,6.0,4.0,7.0,3.0,12.0
gene-PA0830,host,gene-PA0830,5.0,10.0,3.0,,0.0,
gene-PA5324,host,gene-PA5324,12.0,7.0,4.0,6.0,4.0,11.0
gene-PHIKZ053,phage,gene-PHIKZ053,34.0,28.0,,,,
gene-PA4499,host,gene-PA4499,15.0,17.0,8.0,7.0,4.0,9.0
gene-PA3831,host,pepA,25.0,24.0,11.0,15.0,9.0,7.0
gene-PA3269,host,gene-PA3269,9.0,3.0,5.0,7.0,1.0,8.0
gene-PA0634,host,gene-PA0634,5.0,7.0,1.0,2.0,0.0,3.0
gene-PA0713,host,gene-PA0713,1.0,4.0,0.0,2.0,1.0,1.0
gene-PA4130,host,gene-PA4130,38.0,34.0,9.0,12.0,5.0,19.0
gene-PA5153,host,gene-PA5153,10.0,5.0,3.0,4.0,2.0,8.0
gene-PA5381,host,gene-PA5381,3.0,1.0,4.0,2.0,1.0,0.0
gene-PA4037,host,gene-PA4037,15.0,10.0,3.0,5.0,1.0,8.0
gene-PA1926,host,gene-PA1926,24.0,14.0,4.0,10.0,1.0,9.0
gene-PA1635,host,kdpC,2.0,2.0,0.0,4.0,0.0,3.0
gene-PHIKZ281,phage,gene-PHIKZ281,,,,,,
gene-PA5448,host,wbpY,13.0,5.0,4.0,13.0,3.0,13.0
gene-PA1694,host,pscQ,12.0,7.0,3.0,5.0,1.0,3.0
gene-PA4791,host,gene-PA4791,5.0,1.0,1.0,2.0,2.0,2.0
gene-PA0816,host,gene-PA0816,9.0,1.0,3.0,3.0,1.0,0.0
gene-PA0611,host,prtR,16.0,10.0,2.0,6.0,0.0,6.0
gene-PA3874,host,narH,15.0,11.0,1.0,7.0,3.0,12.0
gene-PA4415,host,mraY,36.0,20.0,3.0,12.0,2.0,3.0
gene-PA1271,host,gene-PA1271,,28.0,6.0,19.0,4.0,9.0
gene-PA5412,host,gene-PA5412,28.0,26.0,6.0,13.0,4.0,9.0
gene-PA0657,host,gene-PA0657,13.0,15.0,3.0,2.0,3.0,4.0
gene-PA2968,host,fabD,,,12.0,8.0,0.0,6.0
gene-PA3194,host,edd,,33.0,,15.0,,15.0
gene-PA2515,host,xylL,6.0,5.0,1.0,2.0,0.0,1.0
gene-PA0461,host,gene-PA0461,25.0,19.0,8.0,9.0,2.0,16.0
gene-PA1224,host,gene-PA1224,9.0,7.0,7.0,5.0,0.0,4.0
gene-PA1072,host,braE,9.0,10.0,6.0,5.0,5.0,
gene-PA0876,host,gene-PA0876,9.0,11.0,1.0,7.0,0.0,5.0
gene-PA5513,host,poxA,9.0,9.0,7.0,3.0,3.0,10.0
gene-PA5469,host,gene-PA5469,3.0,4.0,1.0,9.0,3.0,7.0
gene-PA4512,host,lpxO1,15.0,13.0,1.0,12.0,0.0,7.0
gene-PA1980,host,eraR,1.0,2.0,2.0,2.0,0.0,4.0
gene-PA1031,host,gene-PA1031,18.0,16.0,9.0,10.0,4.0,5.0
gene-PA3236,host,gene-PA3236,8.0,8.0,1.0,4.0,3.0,8.0
gene-PA5321,host,dut,18.0,6.0,5.0,4.0,2.0,2.0
gene-PA1112.1,host,gene-PA1112.1,33.0,32.0,15.0,15.0,3.0,11.0
gene-PA4133,host,gene-PA4133,37.0,35.0,,13.0,2.0,13.0
gene-PA0045,host,gene-PA0045,10.0,11.0,3.0,5.0,3.0,8.0
gene-PA1706,host,pcrV,20.0,23.0,2.0,7.0,3.0,3.0
gene-PA0078,host,gene-PA0078,7.0,9.0,4.0,8.0,6.0,10.0
gene-PA1228,host,gene-PA1228,10.0,7.0,2.0,4.0,0.0,3.0
gene-PA1659,host,gene-PA1659,0.0,0.0,0.0,1.0,0.0,1.0
gene-PA4690,host,gene-PA4690,14.0,16.0,8.0,2.0,2.0,9.0
gene-PA4119,host,aph,19.0,15.0,5.0,9.0,2.0,6.0
gene-PA0381,host,thiG,35.0,22.0,10.0,12.0,0.0,12.0
gene-PA0939,host,gene-PA0939,2.0,0.0,0.0,3.0,0.0,1.0
gene-PA1343,host,gene-PA1343,12.0,5.0,8.0,5.0,0.0,8.0
gene-PA1914,host,gene-PA1914,10.0,6.0,2.0,11.0,0.0,5.0
gene-PA3544,host,algE,13.0,12.0,2.0,6.0,1.0,13.0
gene-PHIKZ151,phage,gene-PHIKZ151,3.0,3.0,,,8.0,
gene-PA1707,host,pcrH,24.0,24.0,4.0,9.0,0.0,5.0
gene-PA5147,host,mutY,25.0,17.0,2.0,6.0,1.0,7.0
gene-PA0767,host,lepA,,,,,7.0,
gene-PA3762,host,gene-PA3762,6.0,6.0,5.0,1.0,0.0,1.0
gene-PA2953,host,gene-PA2953,41.0,33.0,,21.0,7.0,15.0
gene-PA1005,host,gene-PA1005,14.0,14.0,5.0,4.0,4.0,7.0
gene-PA2546,host,gene-PA2546,2.0,1.0,2.0,2.0,2.0,1.0
gene-PA2886,host,atuA,8.0,6.0,1.0,9.0,3.0,9.0
gene-PA2603.1,host,gene-PA2603.1,,,,,,
gene-PA1727,host,mucR,19.0,16.0,3.0,5.0,3.0,6.0
gene-PA0372,host,gene-PA0372,29.0,27.0,12.0,19.0,10.0,23.0
gene-PA2031,host,gene-PA2031,4.0,1.0,1.0,1.0,0.0,0.0
gene-PA1163,host,ndvB,27.0,29.0,3.0,16.0,2.0,12.0
gene-PA3515,host,gene-PA3515,6.0,9.0,1.0,3.0,0.0,6.0
gene-PA0204,host,gene-PA0204,18.0,10.0,4.0,9.0,0.0,12.0
gene-PA5222,host,gene-PA5222,8.0,4.0,3.0,5.0,2.0,3.0
gene-PA0090,host,clpV1,34.0,31.0,12.0,,7.0,21.0
gene-PA1061,host,gene-PA1061,5.0,5.0,0.0,4.0,0.0,
gene-PA4288,host,gene-PA4288,7.0,10.0,2.0,3.0,0.0,
gene-PA4039,host,gene-PA4039,18.0,16.0,,17.0,3.0,13.0
gene-PA4580,host,gene-PA4580,4.0,9.0,2.0,3.0,0.0,
gene-PA4761,host,dnaK,,,,,,
gene-PA4523,host,gene-PA4523,,26.0,9.0,13.0,4.0,12.0
gene-PA3364,host,amiC,13.0,10.0,2.0,10.0,1.0,5.0
gene-PA4667,host,gene-PA4667,41.0,17.0,9.0,8.0,4.0,
gene-PA3180,host,gene-PA3180,5.0,5.0,3.0,3.0,2.0,2.0
gene-PA1335,host,gene-PA1335,2.0,11.0,5.0,5.0,3.0,4.0
gene-PA0731,host,gene-PA0731,7.0,7.0,0.0,8.0,1.0,2.0
gene-PA4748,host,tpiA,,,,,,
gene-PA3789,host,gene-PA3789,10.0,4.0,4.0,6.0,0.0,4.0
gene-PA2671,host,gene-PA2671,5.0,1.0,2.0,2.0,2.0,4.0
gene-PA2185,host,katN,7.0,5.0,5.0,5.0,0.0,5.0
gene-PA5193,host,yrfI,12.0,14.0,,9.0,1.0,9.0
gene-PHIKZ046,phage,gene-PHIKZ046,,,,,,
gene-PHIKZ299,phage,gene-PHIKZ299,10.0,7.0,,,,
gene-PA4298,host,gene-PA4298,2.0,0.0,0.0,0.0,0.0,2.0
gene-PA3927,host,gene-PA3927,7.0,4.0,1.0,6.0,0.0,
gene-PA3128,host,gene-PA3128,6.0,6.0,2.0,5.0,0.0,5.0
gene-PA2453,host,gene-PA2453,6.0,17.0,3.0,6.0,0.0,1.0
gene-PA3114,host,truA,8.0,12.0,1.0,6.0,0.0,7.0
gene-PA1287,host,gene-PA1287,2.0,7.0,1.0,5.0,1.0,4.0
gene-PA4615,host,gene-PA4615,8.0,12.0,9.0,11.0,7.0,3.0
gene-PA1947,host,rbsA,9.0,4.0,1.0,8.0,0.0,0.0
gene-PA2847,host,gene-PA2847,4.0,2.0,2.0,2.0,0.0,0.0
gene-PA4241,host,rpsM,,,,24.0,8.0,15.0
gene-PA1173,host,napB,4.0,0.0,0.0,2.0,0.0,1.0
gene-PA3160,host,wzz,,,,16.0,8.0,22.0
gene-PA0387,host,gene-PA0387,14.0,13.0,6.0,8.0,3.0,3.0
gene-PA1576,host,gene-PA1576,14.0,11.0,1.0,6.0,1.0,8.0
gene-PA3286,host,gene-PA3286,32.0,22.0,10.0,14.0,2.0,7.0
gene-PA2978,host,ptpA,6.0,7.0,1.0,2.0,0.0,0.0
gene-PA1538,host,gene-PA1538,4.0,6.0,0.0,6.0,2.0,6.0
gene-PA4025,host,gene-PA4025,13.0,4.0,8.0,4.0,5.0,4.0
gene-PA1225,host,gene-PA1225,9.0,4.0,3.0,7.0,1.0,1.0
gene-PA2254,host,pvcA,3.0,2.0,3.0,2.0,1.0,4.0
gene-PA0728,host,gene-PA0728,7.0,7.0,0.0,3.0,0.0,3.0
gene-PA1340,host,gene-PA1340,8.0,4.0,3.0,5.0,0.0,4.0
gene-PA4906,host,gene-PA4906,10.0,6.0,1.0,7.0,3.0,3.0
gene-PA2585,host,uvrC,11.0,,5.0,10.0,3.0,6.0
gene-PA4328,host,gene-PA4328,7.0,3.0,1.0,5.0,0.0,4.0
gene-PA2672,host,gene-PA2672,8.0,2.0,2.0,2.0,0.0,2.0
gene-PA4650,host,gene-PA4650,3.0,4.0,0.0,4.0,2.0,4.0
gene-PA4227,host,pchR,1.0,9.0,2.0,2.0,2.0,3.0
gene-PA2134,host,gene-PA2134,4.0,3.0,1.0,3.0,0.0,1.0
gene-PA3847,host,gene-PA3847,4.0,3.0,4.0,1.0,1.0,2.0
gene-PA4783,host,gene-PA4783,8.0,4.0,2.0,7.0,1.0,5.0
gene-PA1520,host,gene-PA1520,12.0,9.0,5.0,6.0,2.0,7.0
gene-PA1006,host,gene-PA1006,1.0,8.0,0.0,8.0,0.0,1.0
gene-PA4673.1,host,gene-PA4673.1,,,,,5.0,4.0
gene-PA2070,host,gene-PA2070,21.0,14.0,5.0,11.0,0.0,7.0
gene-PA3739,host,gene-PA3739,12.0,13.0,8.0,10.0,6.0,9.0
gene-PA2126,host,gene-PA2126,2.0,2.0,1.0,0.0,0.0,1.0
gene-PA3293,host,gene-PA3293,4.0,3.0,1.0,5.0,2.0,2.0
gene-PA3238,host,gene-PA3238,13.0,5.0,9.0,7.0,3.0,12.0
gene-PA1328,host,gene-PA1328,2.0,6.0,2.0,5.0,0.0,3.0
gene-PA2449,host,gene-PA2449,24.0,17.0,2.0,5.0,1.0,8.0
gene-PA4360a,host,gene-PA4360a,0.0,4.0,0.0,2.0,0.0,1.0
gene-PA1850,host,gene-PA1850,5.0,5.0,0.0,7.0,1.0,3.0
gene-PA1253,host,gene-PA1253,7.0,8.0,1.0,7.0,0.0,7.0
gene-PA0620,host,gene-PA0620,20.0,20.0,9.0,7.0,4.0,20.0
gene-PA3121,host,leuC,16.0,12.0,5.0,5.0,3.0,3.0
gene-PA3386,host,gene-PA3386,4.0,2.0,0.0,0.0,0.0,1.0
gene-PA0522,host,gene-PA0522,2.0,3.0,0.0,2.0,1.0,2.0
gene-PA4982,host,gene-PA4982,15.0,11.0,5.0,5.0,,11.0
gene-PA5121,host,gene-PA5121,23.0,18.0,9.0,18.0,4.0,15.0
gene-PA1079,host,flgD,13.0,14.0,7.0,16.0,4.0,1.0
gene-PA3528,host,rnt,18.0,16.0,4.0,0.0,2.0,5.0
gene-PA3151,host,hisF2,31.0,23.0,9.0,5.0,1.0,3.0
gene-PA0833,host,gene-PA0833,15.0,7.0,7.0,8.0,6.0,7.0
gene-PA4970,host,gene-PA4970,11.0,6.0,2.0,3.0,4.0,3.0
gene-PA4306,host,flp,4.0,5.0,0.0,3.0,0.0,4.0
gene-PA2014,host,liuB,18.0,12.0,4.0,8.0,4.0,5.0
gene-PA1090,host,gene-PA1090,9.0,3.0,1.0,4.0,0.0,5.0
gene-PA1911,host,femR,2.0,2.0,1.0,3.0,0.0,4.0
gene-PA2732,host,gene-PA2732,,,12.0,,3.0,19.0
gene-PA5320,host,coaC,32.0,32.0,8.0,9.0,5.0,19.0
gene-PA2114,host,gene-PA2114,23.0,25.0,10.0,15.0,5.0,11.0
gene-PA2168,host,gene-PA2168,7.0,3.0,1.0,5.0,3.0,2.0
gene-PA1240,host,gene-PA1240,5.0,4.0,2.0,3.0,0.0,5.0
gene-PHIKZ_p78,phage,gene-PHIKZ_p78,23.0,27.0,,,1.0,
gene-PA5119,host,glnA,,,16.0,15.0,,
gene-PA4421,host,gene-PA4421,,24.0,10.0,16.0,6.0,6.0
gene-PA5281,host,gene-PA5281,7.0,6.0,3.0,6.0,2.0,4.0
gene-PA0783,host,putP,16.0,25.0,7.0,15.0,6.0,17.0
gene-PA0570,host,gene-PA0570,1.0,1.0,0.0,4.0,0.0,3.0
gene-PA1585,host,sucA,,,,,,
gene-PA4152,host,gene-PA4152,23.0,11.0,2.0,4.0,1.0,7.0
gene-PA3024,host,gene-PA3024,7.0,4.0,7.0,7.0,1.0,4.0
gene-PA1619,host,gene-PA1619,3.0,6.0,1.0,3.0,0.0,1.0
gene-PA3124,host,gene-PA3124,7.0,8.0,0.0,4.0,1.0,4.0
gene-PA5212,host,gene-PA5212,8.0,6.0,9.0,7.0,,12.0
gene-PA5039,host,aroK,36.0,29.0,9.0,14.0,5.0,9.0
gene-PA5202,host,gene-PA5202,7.0,3.0,2.0,2.0,2.0,4.0
gene-PA1197,host,gene-PA1197,4.0,10.0,5.0,3.0,2.0,2.0
gene-PA2322,host,gene-PA2322,15.0,8.0,3.0,5.0,2.0,14.0
gene-PHIKZ005,phage,gene-PHIKZ005,,34.0,,14.0,4.0,
gene-PA1014,host,gene-PA1014,16.0,12.0,10.0,5.0,1.0,9.0
gene-PA4993,host,gene-PA4993,4.0,3.0,0.0,4.0,4.0,0.0
gene-PA1316,host,gene-PA1316,8.0,12.0,6.0,9.0,1.0,13.0
gene-PA5318,host,gene-PA5318,3.0,4.0,0.0,3.0,3.0,3.0
gene-PA4113,host,gene-PA4113,18.0,11.0,2.0,11.0,1.0,8.0
gene-PA3592,host,gene-PA3592,10.0,6.0,2.0,5.0,3.0,5.0
gene-PA3366.1,host,amiL,,,14.0,19.0,0.0,4.0
gene-PA4631,host,gene-PA4631,17.0,17.0,8.0,5.0,3.0,8.0
gene-PA3627,host,ygbB,30.0,16.0,7.0,8.0,1.0,1.0
gene-PA0961,host,gene-PA0961,24.0,19.0,12.0,11.0,5.0,6.0
gene-PA3094,host,gene-PA3094,3.0,6.0,5.0,9.0,1.0,3.0
gene-PA0411,host,pilJ,,,,,6.0,21.0
gene-PA2973,host,gene-PA2973,23.0,21.0,4.0,6.0,4.0,10.0
gene-PA5251,host,gene-PA5251,9.0,7.0,2.0,5.0,2.0,6.0
gene-PA5118,host,thiI,,,,,,
gene-PA4342,host,gene-PA4342,8.0,5.0,1.0,,1.0,9.0
gene-PA0525,host,gene-PA0525,12.0,4.0,1.0,6.0,1.0,12.0
gene-PA0122,host,gene-PA0122,11.0,12.0,3.0,6.0,2.0,7.0
gene-PA0857,host,bolA,9.0,3.0,3.0,4.0,2.0,0.0
gene-PA2433,host,gene-PA2433,3.0,3.0,1.0,1.0,0.0,4.0
gene-PA3619,host,gene-PA3619,8.0,8.0,5.0,10.0,1.0,8.0
gene-PA1793,host,ppiB,,35.0,9.0,10.0,3.0,6.0
gene-PA3012,host,gene-PA3012,8.0,1.0,4.0,3.0,1.0,3.0
gene-PA4451.1,host,gene-PA4451.1,1.0,3.0,1.0,2.0,1.0,0.0
gene-PA0242,host,gene-PA0242,20.0,11.0,8.0,11.0,4.0,14.0
gene-PA4426,host,gene-PA4426,15.0,8.0,2.0,8.0,3.0,6.0
gene-PA0784,host,gene-PA0784,6.0,5.0,1.0,5.0,0.0,4.0
gene-PA4683,host,gene-PA4683,8.0,6.0,3.0,2.0,1.0,6.0
gene-PA5315,host,rpmG,,,,,,
gene-PA1329,host,gene-PA1329,1.0,0.0,0.0,2.0,0.0,0.0
gene-PA3524,host,gloA1,29.0,16.0,13.0,9.0,3.0,6.0
gene-PA4811,host,fdnH,19.0,14.0,7.0,13.0,1.0,9.0
gene-PA0856,host,gene-PA0856,14.0,7.0,10.0,3.0,2.0,6.0
gene-PA3961,host,gene-PA3961,20.0,22.0,7.0,23.0,8.0,15.0
gene-PA1023,host,gene-PA1023,5.0,4.0,2.0,1.0,1.0,3.0
gene-PA4458,host,gene-PA4458,23.0,11.0,3.0,9.0,3.0,6.0
gene-PA0719,host,gene-PA0719,6.0,1.0,3.0,1.0,2.0,4.0
gene-PA0769,host,gene-PA0769,11.0,14.0,4.0,7.0,1.0,5.0
gene-PA2473,host,gene-PA2473,5.0,4.0,1.0,4.0,0.0,1.0
gene-PA3019,host,gene-PA3019,38.0,26.0,11.0,16.0,5.0,22.0
gene-PA3058,host,pelG,11.0,12.0,5.0,12.0,1.0,8.0
gene-PA4632,host,gene-PA4632,16.0,9.0,2.0,9.0,1.0,5.0
gene-PA4325,host,gene-PA4325,15.0,6.0,4.0,2.0,0.0,3.0
gene-PA5337,host,rpoZ,,,,24.0,7.0,4.0
gene-PA0419,host,gene-PA0419,14.0,11.0,5.0,14.0,0.0,7.0
gene-PA5149,host,gene-PA5149,13.0,10.0,4.0,9.0,4.0,6.0
gene-PA3505,host,gene-PA3505,2.0,2.0,2.0,1.0,0.0,2.0
gene-PA0163,host,gene-PA0163,21.0,13.0,4.0,8.0,1.0,4.0
gene-PA3259,host,gene-PA3259,4.0,2.0,0.0,0.0,1.0,1.0
gene-PA4291,host,gene-PA4291,15.0,10.0,3.0,9.0,2.0,3.0
gene-PHIKZ008,phage,gene-PHIKZ008,,,,,9.0,
gene-PA4464,host,ptsN,15.0,15.0,5.0,9.0,2.0,9.0
gene-PA2780,host,gene-PA2780,3.0,2.0,1.0,7.0,0.0,3.0
gene-PA3237,host,gene-PA3237,2.0,3.0,0.0,1.0,0.0,3.0
gene-PA3965,host,gene-PA3965,10.0,12.0,5.0,5.0,3.0,8.0
gene-PA2103,host,gene-PA2103,14.0,9.0,3.0,4.0,0.0,8.0
gene-PA0680,host,gene-PA0680,1.0,3.0,0.0,0.0,0.0,1.0
gene-PA5201,host,gene-PA5201,,,,,,18.0
gene-PA1962,host,azoR2,4.0,4.0,1.0,2.0,0.0,1.0
gene-PA3646,host,lpxD,,35.0,7.0,11.0,7.0,5.0
gene-PA3668,host,gene-PA3668,0.0,4.0,2.0,1.0,3.0,2.0
gene-PA3605,host,gene-PA3605,10.0,8.0,3.0,9.0,0.0,4.0
gene-PA3701,host,prfB,,,,,8.0,8.0
gene-PA0795,host,prpC,9.0,7.0,1.0,10.0,2.0,8.0
gene-PA4673,host,gene-PA4673,27.0,30.0,7.0,9.0,3.0,5.0
gene-PA2415,host,gene-PA2415,1.0,5.0,1.0,1.0,0.0,3.0
gene-PA3944,host,gene-PA3944,1.0,6.0,0.0,1.0,0.0,2.0
gene-PA2828,host,gene-PA2828,19.0,14.0,8.0,9.0,1.0,10.0
gene-PA1975,host,gene-PA1975,7.0,5.0,1.0,6.0,0.0,5.0
gene-PA2325,host,gene-PA2325,7.0,5.0,1.0,7.0,2.0,7.0
gene-PA1539,host,gene-PA1539,7.0,5.0,1.0,5.0,0.0,1.0
gene-PA5246,host,gene-PA5246,4.0,6.0,1.0,6.0,0.0,3.0
gene-PA0427,host,oprM,36.0,29.0,13.0,17.0,,18.0
gene-PA1652,host,gene-PA1652,7.0,2.0,3.0,5.0,3.0,4.0
gene-PA1151,host,imm2,23.0,22.0,12.0,13.0,2.0,3.0
gene-PHIKZ136,phage,gene-PHIKZ136,3.0,5.0,,,,
gene-PA3913,host,gene-PA3913,7.0,3.0,4.0,5.0,1.0,6.0
gene-PA4287,host,gene-PA4287,8.0,5.0,3.0,5.0,2.0,7.0
gene-PA3523,host,gene-PA3523,7.0,13.0,1.0,2.0,1.0,4.0
gene-PA1754,host,cysB,19.0,17.0,4.0,14.0,2.0,5.0
gene-PA1310,host,phnW,5.0,8.0,2.0,7.0,1.0,6.0
gene-PA3943,host,gene-PA3943,25.0,14.0,9.0,15.0,3.0,7.0
gene-PA1748,host,gene-PA1748,6.0,7.0,1.0,3.0,0.0,3.0
gene-PA4919,host,pncB1,16.0,15.0,5.0,9.0,9.0,7.0
